,name,price,description,size,abv,list_of_flavors,style_list,avg_rating,num_rating,subtitle,current_date,product_link
0,Ballyhoo Single Grain Whiskey,£33.75,"A small-batch single grain Irish whiskey, Ballyhoo is made with a mash bill of 93% corn and 7% malted barley and matured for four years, before being finished in ex-port for six months. Aromas of vanilla, almonds, baking spices and green apples fill the nose, complemented by notes of vanilla, dried fruit, rich nuts, caramel and toasted oak throughout the palate.",70cl,43%,"['Vanilla ', 'Cinnamon', 'Almond', 'Oak', 'Dried Fruit', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Irish Single Grain Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64677/ballyhoo-single-grain-whiskey
1,Bushmills 10 Year Old,£37.25,"The benchmark Irish single malt, this has a far greater depth of flavour than standard Irish blends.

Tasting Notes (1)",70cl,40%,"['Vanilla ', 'Cinnamon', 'Mango', 'Milk Chocolate', 'Honey ']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,73,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2834/bushmills-10-year-old
2,"Bushmills 2000 Port Cask
Causeway Collection",£275,"A limited-edition 2000 port cask matured Bushmills single malt Irish whiskey from the Causeway Collection, a series of whiskies inspired by the majesty of Ireland's picturesque Giant's Causeway. This whiskey has spent its entire life in first-fill ruby port casks, and two decades in these casks has imparted aromas of ripe raspberries, plums, grapefruit and cherries that fill the nose. The palate offers notes of strawberries, caramelised toffee, sweet chilli, allspice and raspberry jam the linger in the finish.",70cl,54.1%,"['Nutmeg', 'Grapefruit', 'Raspberry', 'Strawberry', 'Cherry', 'Plums']","['Body', 'Richness', 'Smoke', 'Sweetness']",None,None,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/62656/bushmills-2000-port-cask-causeway-collection
3,Bushmills 21 Year Old,£190,"Matured in a combination of hand-selected oloroso sherry butts and ex-bourbon barrels for at least 19 years, this 21-year-old single malt Irish whiskey from Bushmills is then finished in Madeira casks for a further two years. Rich aromas of honey, ripe summer fruits, sweet hazelnuts and cacao fill the nose, complemented by notes of dark chocolate, toffee, vanilla, toasted nuts and charred oak throughout the palate and lingering in the finish.",70cl,40%,"['Vanilla ', 'Raspberry', 'Hazelnut', 'Dark Chocolate', 'Honey ', 'Toffee']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65397/bushmills-21-year-old
4,Bushmills Caribbean Rum Cask Finish,£26.45,"A fruity, spicy Irish whiskey from Bushmills that has been matured in casks that previously held Dominican rum. Aromas of pineapple, mango and oak spice fill the nose, complemented by notes of vanilla custard, cream, caramelised pineapple and papaya throughout the palate.",70cl,40%,"['Vanilla ', 'Pineapple', 'Mango', 'Papaya', 'Custard', 'Caramel']",None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60012/bushmills-caribbean-rum-cask-finish
5,Bushmills Black Bush,£28.45,"A bottle of a rich, dark, Irish blend, Black Bush contains a high proportion of triple-distilled single malt, aged in Oloroso sherry casks for around eight to 10 years before marriage with the grain.",70cl,40%,None,None,4.5,21,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/36818/bushmills-black-bush
6,"Bushmills 16 Year Old Single Malt
Port Finish",£86.95,"Matured in three different types of cask - oloroso sherry, bourbon , and port pipes - each of which contributes extra nuances to what is destined to become a classic Irish malt. Perfect as an after-dinner dram.",70cl,40%,"['Almond', 'Dark Chocolate', 'Toffee', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,40,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2839/bushmills-16-year-old-single-malt-port-finish
7,Bushmills Original,£23.75,Grain whiskey reserved for Bushmills Original is slowly matured for a minimum of five years in American oak casks before blending with Irish Single Malt to produce this popular whiskey.,70cl,40%,"['Vanilla ', 'Ginger', 'Butter']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,63,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2824/bushmills-original
8,Bushmills Bourbon Cask Finish,£26.45,"A bold Irish whiskey from Bushmills that has been finished in bourbon casks, creating layers of vanilla and oak spice throughout the palate.",70cl,40%,"['Vanilla ', 'Oak']",None,None,None,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/62055/bushmills-bourbon-cask-finish
9,Bushmills Red Bush,£29.95,"Bushmills is a very traditional distillery and its rare to see a new expression – this was the first to appear for almost five years! It's a sweet and buttery dram with lots of vanilla and cream, as you'd expect from its maturation in bourbon casks, with lots of first-fill in the mix.",70cl,40%,"['Vanilla ', 'Nutmeg', 'Butterscotch', 'Butter']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,7,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/41272/bushmills-red-bush
